Bar,Date,Time,Open,High,Low,Close,CCI(20C),%K(141),%D(3)
225,11/14/07,15:10,148775,148950,148675,148750,-54.66,37.03,32.09
226,11/14/07,15:15,148750,148950,148750,148825,-12.24,48.14,43.2
227,11/14/07,15:20,148825,149075,148700,149025,93.33,77.77,54.32
228,11/14/07,15:25,149000,149050,148800,148925,38.9,62.96,62.96
229,11/14/07,15:30,148900,148925,148550,148650,-94.18,22.22,54.32
230,11/14/07,15:35,148625,148650,148075,148125,-285.71,4.65,29.94
231,11/14/07,15:40,148125,148150,147725,148075,-244.41,24.56,17.14
232,11/14/07,15:45,148050,148125,147800,147800,-247.12,5.26,11.49
233,11/14/07,15:50,147800,147900,147000,147250,-273.13,12.04,13.95
234,11/14/07,15:55,147225,147475,147200,147300,-196.89,14.45,10.58
235,11/15/07,09:30,147000,147150,146825,146925,-193.04,4.44,10.31
236,11/15/07,09:35,146925,147000,146600,146825,-164.71,9.09,9.33
237,11/15/07,09:40,146825,147250,146800,147100,-115.67,20.2,11.24
238,11/15/07,09:45,147100,147100,146700,146725,-131.93,5.05,11.44
239,11/15/07,09:50,146700,147075,146700,146875,-103.28,11.11,12.12
240,11/15/07,09:55,146875,147175,146850,147025,-79.8,17.17,11.11
241,11/15/07,10:00,147000,147000,146800,146925,-79.42,13.26,13.84
242,11/15/07,10:05,146925,147175,146725,147100,-58.5,21.5,17.31
243,11/15/07,10:10,147100,147400,147050,147300,-36.85,34.14,22.97
244,11/15/07,10:15,147325,147450,147200,147425,-21.2,53.22,36.29
245,11/15/07,10:20,147400,147425,147250,147300,-28.64,45.9,44.42
246,11/15/07,10:25,147300,147425,147225,147250,-29.19,50,49.7
247,11/15/07,10:30,147250,147300,146950,147275,-19.6,77.14,57.68
248,11/15/07,10:35,147275,147700,147275,147625,51.54,93.18,73.44
249,11/15/07,10:40,147625,147625,147350,147425,33.53,75,81.77
250,11/15/07,10:45,147425,147475,147325,147475,60,77.5,81.89
251,11/15/07,10:50,147475,147525,147375,147375,48.04,67.5,73.33
252,11/15/07,10:55,147375,147425,147225,147275,28.6,57.5,67.5
253,11/15/07,11:00,147275,147500,147150,147400,65.61,69.23,64.74
254,11/15/07,11:05,147400,147550,147400,147525,97.99,82.05,69.59
255,11/15/07,11:10,147525,147575,147375,147450,69.94,74.35,75.21
256,11/15/07,11:15,147450,147475,147275,147325,24.38,50,68.8
257,11/15/07,11:20,147325,147375,147200,147250,-6.32,40,54.78
258,11/15/07,11:25,147225,147300,147125,147175,-52.34,30,39
259,11/15/07,11:30,147175,147200,146825,146950,-162.22,14.28,28.09
260,11/15/07,11:35,146925,147100,146925,147000,-136.61,20,21.42
261,11/15/07,11:40,147000,147050,146825,146975,-152.46,17.14,17.14
262,11/15/07,11:45,146950,147075,146950,147075,-103.01,31.25,22.79
263,11/15/07,11:50,147050,147100,146675,146800,-187.18,13.88,20.76
264,11/15/07,11:55,146800,147000,146725,146900,-125.43,25,23.37
265,11/15/07,12:00,146900,147175,146900,146950,-92.87,30.55,23.14
266,11/15/07,12:05,146975,147050,146825,147025,-60.6,38.88,31.48
267,11/15/07,12:10,147025,147075,146875,146925,-82.75,27.77,32.4
268,11/15/07,12:15,146900,147150,146825,146875,-89.68,22.22,29.62
269,11/15/07,12:20,146875,146900,146700,146825,-95.91,18.75,22.91
270,11/15/07,12:25,146825,146875,146525,146550,-166.66,2.94,14.63
271,11/15/07,12:30,146550,146600,146325,146450,-177.67,12.82,11.5
272,11/15/07,12:35,146475,146650,146400,146575,-127.34,28.57,14.77
