Bar,Date,Time,Open,High,Low,Close,Vol,ADX(1414),+DI(1414),-DI(1414)
211,10/06/06,00:00,82.93,83.78,82.50,83.14,5340900,31.17,28.44,11.42
212,10/09/06,00:00,83.14,84.08,83.00,84.00,4490200,32.2,28.39,10.61
213,10/10/06,00:00,83.71,84.63,83.56,84.19,4712900,33.51,30.01,9.86
214,10/11/06,00:00,84.15,84.69,83.79,84.19,5210600,34.76,28.6,9.27
215,10/12/06,00:00,84.20,84.90,84.10,84.70,4661700,36.06,28.49,8.77
216,10/13/06,00:00,84.45,86.21,84.44,86.08,7788600,37.95,33.71,7.76
217,10/16/06,00:00,86.08,87.60,85.75,86.71,8633600,40.21,38.44,6.87
218,10/17/06,00:00,86.33,87.94,86.22,86.95,13328800,42.42,36.52,6.17
219,10/18/06,00:00,90.51,92.04,89.73,89.82,27876200,45.25,47.38,4.65
220,10/19/06,00:00,89.80,90.98,89.31,89.86,10676400,47.36,43.58,6.29
221,10/20/06,00:00,90.04,90.70,89.55,90.48,7391600,49.32,41.14,5.94
222,10/23/06,00:00,90.05,92.00,90.01,91.56,8862300,51.37,43.42,5.37
223,10/24/06,00:00,90.91,91.95,90.80,91.49,9222500,53.26,41.01,5.07
224,10/25/06,00:00,91.21,91.99,90.94,91.83,6122100,55.04,39.08,4.81
225,10/26/06,00:00,91.83,91.93,91.25,91.54,4990300,56.68,37.72,4.64
226,10/27/06,00:00,90.91,91.89,90.58,90.76,5840300,57.18,35.17,7.78
227,10/30/06,00:00,89.80,92.00,89.80,91.50,5594100,56.58,31.34,10.79
228,10/31/06,00:00,91.50,92.68,91.50,92.33,9267600,56.31,32.9,10.15
229,11/01/06,00:00,92.50,92.68,91.50,91.80,5846200,56.06,30.93,9.55
230,11/02/06,00:00,91.80,91.95,91.25,91.68,4895100,55.47,29.79,10.51
231,11/03/06,00:00,91.76,92.34,91.18,91.41,4509200,55.12,30.02,9.86
232,11/06/06,00:00,91.50,92.74,91.50,92.60,6240900,54.98,30.03,9.16
233,11/07/06,00:00,92.42,93.40,92.41,92.75,7305200,55.15,31.99,8.67
234,11/08/06,00:00,92.25,92.92,92.01,92.59,6022200,54.7,30.38,10.45
235,11/09/06,00:00,92.59,93.19,92.37,92.42,4518900,54.41,30.5,9.96
236,11/10/06,00:00,92.30,92.35,91.63,91.76,5369600,53.07,29.09,13.83
237,11/13/06,00:00,91.55,92.43,91.41,92.07,4359400,51.51,27.33,14.3
238,11/14/06,00:00,92.00,93.29,91.65,93.29,5873000,50.64,29.71,12.94
239,11/15/06,00:00,93.08,93.28,92.54,93.11,4172800,49.83,28.38,12.37
240,11/16/06,00:00,93.07,93.60,92.60,93.47,4171500,49.28,28.6,11.62
241,11/17/06,00:00,93.42,94.05,93.31,93.81,5251000,49.05,30.07,11.09
242,11/20/06,00:00,93.60,93.80,93.01,93.25,5010600,48.36,28.55,12.43
243,11/21/06,00:00,93.01,93.43,92.85,93.08,3068500,47.46,27.47,13.006
244,11/22/06,00:00,92.90,93.74,92.80,93.52,3351700,46.86,27.81,12.19
245,11/24/06,00:00,93.05,93.75,92.98,93.35,2130600,46.3,26.43,11.56
246,11/27/06,00:00,92.71,93.24,91.12,91.45,6284000,43.18,22.75,21.58
247,11/28/06,00:00,90.65,91.57,90.43,91.35,4962500,40.61,21.13,24.36
248,11/29/06,00:00,91.35,91.66,91.01,91.52,4623000,38.11,20.82,23.33
249,11/30/06,00:00,91.35,92.48,91.25,91.92,6470700,35.85,24.43,21.5
250,12/01/06,00:00,91.90,91.91,90.55,91.25,5445400,33.55,22.32,24.05
251,12/04/06,00:00,92.50,93.95,92.25,93.51,7511500,32.59,30.56,20.33
252,12/05/06,00:00,93.51,94.64,93.44,94.48,6886200,32.14,32.42,18.92
253,12/06/06,00:00,94.48,94.87,94.01,94.12,5949700,31.86,32.13,17.97
254,12/07/06,00:00,94.00,94.43,93.55,94.23,4310800,31.11,30.44,19.77
255,12/08/06,00:00,93.65,94.39,93.47,93.86,4140700,30.31,28.73,19.16
256,12/11/06,00:00,93.72,94.35,93.56,93.64,3459200,29.57,27.32,18.21
257,12/12/06,00:00,93.60,94.85,93.30,94.12,7798300,29.28,27.78,16.49
258,12/13/06,00:00,94.78,95.33,94.50,94.77,6441300,29.36,28.65,15.28
259,12/14/06,00:00,94.97,95.72,94.54,95.36,4644200,29.71,28.97,14.19
260,12/15/06,00:00,95.61,95.80,95.05,95.30,8086500,30.09,28.11,13.52
261,12/18/06,00:00,94.95,96.16,94.80,95.44,7984900,30.7,27.98,12.39
262,12/19/06,00:00,95.10,96.39,94.91,96.00,4933200,31.42,26.86,11.28
263,12/20/06,00:00,96.10,96.50,95.70,96.00,3713200,32.17,26.22,10.73
